,0
Annual return,0.0018534595064203518
Cumulative returns,0.0037177298068269415
Annual volatility,0.0012957859960148741
Sharpe ratio,1.4325380774418603
Calmar ratio,1.0697855424869767
Stability,0.7859345427980707
Max drawdown,-0.0017325523974754179
Omega ratio,1.476979747812355
Sortino ratio,2.1410058235540426
Skew,
Kurtosis,
Tail ratio,1.4571305535742183
Daily value at risk,-0.00015588756823126446
